# 饮食 / Food & Cooking
## cat: food-tech
sear | 高温煎封：用大火快速把表面煎出焦壳
izakaya | 居酒屋：以酒配小菜的日式小馆
omakase | 主厨发办：全交给厨师安排的形式
kaiseki | 怀石料理：讲究时令与顺序的多道日式套餐
nigiri | 握寿司：手捏醋饭上盖一片鱼
nam-pla | 泰式鱼露：小鱼盐渍发酵而成的咸鲜液
galangal | 高良姜：像姜但更辛香带松木味
lemongrass | 香茅：茎秆有柠檬香，需拍碎
kaffir-lime | 青柠叶：叶片双生，香气清冽
tamarind | 罗望子：豆荚果肉极酸，用来调酸
palm-sugar | 棕榈糖：椰花汁熬成，焦香带矿物味
sambal | 参巴酱：辣椒为主的东南亚辣酱
belacan | 虾酱：虾发酵压块，气味极冲
rendang | 仁当：香料与椰浆长时间收干的炖肉
nuoc-cham | 越式蘸汁：鱼露糖酸辣蒜调成
tadka | 炝锅：热油爆香整粒香料后浇进菜里
garam-masala | 印度混合香料：起锅前加，保留香气
tandoor | 泥炉：极高温的圆筒炉，烤饼与肉
paneer | 印度奶酪：不熟成、加热不化的鲜奶酪
chutney | 酸辣酱：果蔬与香料调成的佐味酱
mirepoix | 法式调味蔬菜底：洋葱胡萝卜芹菜按比例
sofrito | 西班牙／拉美底料：洋葱蒜番茄慢炒成基底
soffritto | 意式底料：洋葱胡萝卜芹菜细切慢炒
bouquet-garni | 香草束：捆起来的香草，出锅前取出
tapas | 塔帕斯：西班牙的小份下酒菜
mezze | 中东小碟：多种冷热小菜同时上桌
antipasti | 意式前菜：正餐之前的冷盘
## cat: food-kit
mandoline | 切片器：靠固定刀片快速切出等厚薄片
mortar | 研钵：捣碎香料用的厚壁碗
pestle | 杵：与研钵配套的捣棒
colander | 滤盆：孔大，用来沥面沥水
sieve | 细筛：孔细，用来筛粉过浆
chinois | 锥形细滤：极细的锥形滤网，出品最顺滑
tamis | 平底细筛：鼓形筛，用刮板压过
ricer | 压泥器：把煮软的土豆压成极细的丝
spider | 漏勺：网眼疏、柄长，捞油炸物用
skimmer | 撇沫勺：撇去汤面浮沫与浮油
ladle | 汤勺：舀汤用的深勺
spatula | 铲／刮刀：翻面或刮净盆壁
tongs | 夹：夹取翻动食材
offset-spatula | 曲柄抹刀：抹平奶油而手不挡视线
bench-scraper | 刮板：分割面团、刮净台面
rolling-pin | 擀面杖：把面团压平擀薄
ramekin | 小烤盅：单人份的耐热小碗
springform | 活底模：侧壁可打开，方便脱模
tart-ring | 塔圈：无底的圆环，烤塔皮用
baking-stone | 烘焙石板：蓄热强，让面包底部快速受热
dutch-oven | 珐琅铸铁锅：厚重密封，适合炖与烤面包
cast-iron | 铸铁：蓄热好但升温慢，需养锅
carbon-steel | 碳钢：比铸铁轻、升温快，同样需养
nonstick | 不粘的：涂层防粘，但不耐高温与金属铲
seasoning | 养锅：油在铁面上聚合成一层防粘膜
paring-knife | 削皮刀：短刃，做精细去皮修整
boning-knife | 剔骨刀：窄而略弯，沿骨走刀
serrated | 锯齿的：锯切面包与番茄不压塌
honing | 校刃：用磨刀棒把卷刃扳回，不去金属
whetstone | 磨刀石：真正磨去金属重塑刃口
bevel | 刃角：刀刃两侧的倾斜角度
tang | 刀舌：刀身伸进刀柄里的那部分
bolster | 刀颈：刀身与刀柄之间加厚的一段
probe | 探针：插入中心测温的金属针
instant-read | 速读的：几秒内给出读数的温度计
bain-marie | 水浴：把容器坐在热水里以温和加热
double-boiler | 双层锅：靠水蒸气隔热加热
immersion-circulator | 恒温棒：把水维持在设定温度并循环
dehydrator | 干燥机：低温长时间脱水
proofing-box | 发酵箱：控温控湿让面团稳定长大
salamander | 上火炉：只从上方猛烈加热，用来上色
griddle | 铁板：平坦厚重的加热面
sheet-pan | 烤盘：带浅边的长方形金属盘
parchment | 烘焙纸：耐热防粘的纸
cheesecloth | 纱布：过滤与包裹用的疏织棉布
twine | 棉线：捆扎肉卷与香草束的耐热细绳
## cat: food-sci
syneresis | 脱水收缩：凝胶放置后自己渗出水来
hygroscopic | 吸湿的：会从空气中吸走水分
water-activity | 水分活度：微生物能利用的自由水比例
humectant | 保湿剂：留住水分、延缓变干的成分
curing-salt | 亚硝盐：含亚硝酸盐的腌肉盐，防肉毒并固色
nitrite | 亚硝酸盐：抑菌固色，过量则有健康风险
botulism | 肉毒中毒：厌氧环境下产生的致命毒素
pathogen | 致病菌：会让人生病的微生物
spoilage | 腐败：微生物或酶让食物变质
rancidity | 酸败：脂肪氧化产生哈喇味
antioxidant | 抗氧化剂：延缓氧化的成分
preservative | 防腐剂：抑制微生物以延长保质期
pasteurization | 巴氏杀菌：温和加热杀死致病菌而保风味
sterilization | 灭菌：彻底杀死包括芽孢在内的一切微生物
aseptic | 无菌的：在无菌条件下灌装以常温长存
cold-chain | 冷链：从产地到餐桌全程不断的低温
danger-zone | 危险温度带：细菌繁殖最快的那段温度区间
cross-contamination | 交叉污染：生食的致病菌带到熟食上
haccp | 危害分析与关键控制点：食品安全的系统性管理方法
traceability | 可追溯性：能查出这份食材从哪来、经了谁的手
best-before | 最佳赏味期：过期未必不能吃，只是风味下降
use-by | 食用期限：过期即有安全风险，不应再吃
lacto-fermentation | 乳酸发酵：靠乳酸菌把糖转成酸并防腐
acidification | 酸化：把酸度降到微生物无法生长
buffering | 缓冲：抵抗酸碱变化的能力
enzymatic-browning | 酶促褐变：切开的果蔬遇氧变褐
protease | 蛋白酶：分解蛋白质，可使肉变嫩
amylase | 淀粉酶：把淀粉分解成糖
lipase | 脂肪酶：分解脂肪，产生浓烈风味
transglutaminase | 转谷氨酰胺酶：把蛋白粘接起来的酶
hydrocolloid | 亲水胶体：吸水成胶、用来增稠或凝固
xanthan | 黄原胶：极少量即可显著增稠
agar | 琼脂：来自海藻，凝固后耐热
carrageenan | 卡拉胶：海藻提取物，用于乳品稳定
methylcellulose | 甲基纤维素：反常地遇热凝固、遇冷融化
spherification | 球化：让液体外层成膜，形成可爆的小球
crystallization | 结晶：糖或脂肪形成有序固体结构
supersaturated | 过饱和的：溶质超过常温可溶量而暂时稳定
rheology | 流变学：研究物质流动与形变的学问
denaturation | 变性：蛋白质结构被破坏而凝固
maillard | 美拉德反应：氨基酸与糖受热生成褐色与香气
emulsion | 乳浊液：油与水借助乳化剂稳定共存
## cat: food-tech
flambe | 火烧：淋酒点燃，烧掉酒精留下香气
sweat | 出水软化：小火加盖让蔬菜出水而不上色
clarify | 澄清：滤去杂质使液体透亮
truss | 捆扎：把禽类用线绑紧，受热更均匀
spatchcock | 展平：剪掉脊骨把整禽压平以缩短烤制时间
butterfly | 蝴蝶刀：横切不断然后摊开成一片
brunoise | 极细丁：切成边长约两毫米的方粒
chiffonade | 切丝：叶菜卷起后切成细长条
batonnet | 粗条：切成火柴棍粗细的长条
supreme | 取瓣：把柑橘去皮去膜只留果肉
debone | 去骨：把骨头整根剔出而不破坏肉形
degrease | 撇油：撇去汤面浮油
shock | 过冷水：焯后立刻入冰水以锁色止熟
mount | 收黄油：离火后拌入冷黄油让酱汁变亮变浓
aerate | 打入空气：搅拌使体积变轻变蓬
dock | 扎孔：给面皮扎眼防止烤时鼓起
crimp | 捏边：把两层面皮的边捏合封紧
egg-wash | 刷蛋液：入炉前刷一层，烤出金黄光泽
coddle | 温水浸熟：低于沸点慢慢煮蛋
en-papillote | 纸包烹：包在纸中靠自身水汽蒸熟
gratinate | 焗：表面撒粉或酪后上火烤出脆壳
lacquer | 上釉：反复刷汁烤成光亮硬壳
blitz | 高速打碎：用机器快速搅成泥
pulse | 点动：短促多次开机，控制碎的粗细
press | 压制：加压排出水分并定形
plump | 泡发：把干货泡到吸水回软
temper-eggs | 回温调蛋：把热液一点点加进蛋液以免结块
skim-fat | 撇脂：冷藏后把凝在表面的油脂刮掉
## cat: food-taste
unctuous | 油润的：脂感丰厚而顺滑，不腻
luscious | 甘美的：多汁浓甜，令人满足
cloying | 甜腻的：甜得发闷，吃两口就够
insipid | 寡淡无味的：淡到没有可说之处
zesty | 清爽带柑橘香的：明快而有提神感
briny | 咸鲜的：带海水气息
earthy | 泥土味的：像根茎与菌菇那种沉厚气息
herbaceous | 草本香的：像新鲜香草的清绿气味
floral | 花香的：轻扬的花朵气息
resinous | 树脂味的：像松针与乳香那样的硬朗香
smoky | 烟熏味的：带柴火或熏制的气息
nutty | 坚果香的：烘烤后产生的干香
silky | 丝滑的：入口顺滑无颗粒
gritty | 沙砾感的：有细小颗粒硌口
mealy | 粉沙口感的：像放久的苹果，散而不脆
stringy | 有丝的：纤维长而难嚼断
sinewy | 带筋的：韧到需要用力咬
gelatinous | 胶质的：黏稠弹滑，来自胶原
doughy | 面芯没熟的：中心黏糊未定型
soggy | 湿软的：吸水后失去脆度
limp | 蔫软的：失水后垂软无力
charred | 焦黑的：表面烤到发黑带苦香
mellow | 柔和的：棱角被时间磨圆
biting | 冲口的：辛辣或酸度直冲
lingering | 余味悠长的：咽下后仍留在口中
moreish | 让人停不下来的：吃完还想再来一口
balanced | 平衡的：酸甜咸鲜彼此不压制
one-dimensional | 单薄的：只有一个味道，没有层次
complex | 层次丰富的：先后出现多种风味
rounded | 圆润的：各味融合无突兀
## cat: food-meat
rack | 排骨架：一整排带骨的肋条
saddle | 鞍脊：整段带骨的腰背部
chine | 脊骨：需先剔除才好分切的那根骨
giblets | 禽杂：心肝胗颈的统称
suet | 板油：肾脏周围的硬脂肪
tallow | 牛脂：熬炼后的固态牛油
lard | 猪油：熬炼后的固态猪脂
crackling | 脆皮：烤到起泡爆开的猪皮
bind | 黏结：让肉糜抱团不散的作用
coarse-ground | 粗绞的：颗粒明显，口感有嚼头
fine-ground | 细绞的：质地细腻近乎糊状
emulsified | 乳化的：脂肪与水在肉糜中稳定结合
aged | 熟成的：经控温存放让酶软化肉质
provenance-meat | 溯源：这块肉出自哪个农场哪头牲口
free-range | 散养的：可自由活动的饲养方式
pasture-raised | 草饲的：以牧草为主要饲料
langoustine | 挪威海螯虾：细长小螯，肉极甜
scallop | 扇贝：闭壳肌是可食的主体
abalone | 鲍鱼：需长时间处理才软的单壳贝
uni | 海胆：生殖腺，鲜甜带海潮味
monkfish | 安康鱼：肉紧实近似龙虾
mackerel | 鲭鱼：油脂高、味浓、易变质
anchovy | 鳀鱼：盐渍后化在酱里只留鲜味
bottarga | 乌鱼子：盐渍风干的鱼卵块，刨屑食用
ceviche | 酸腌生鱼：用柑橘汁的酸把鱼肉变性
crudo | 意式生食：只用油盐酸提味的生鱼片
brill | 菱鲆：肉质细的比目鱼类
turbot | 大菱鲆：胶质厚，是高级白身鱼
## cat: food-produce
blanching-vegetable | 软化栽培：遮光种植使茎叶变白变嫩
bolting | 抽薹：受热或日照过长而提前开花，变苦
tender-stem | 嫩茎的：茎部尚未木质化
woody | 木质化的：老化后纤维变硬难嚼
fibrous | 多纤维的：需去筋或长时间烹煮
turgid | 饱水挺实的：细胞充水而脆生
respiration | 呼吸作用：采收后仍在消耗自身糖分
ethylene | 乙烯：果实自身释放、催熟邻居的气体
climacteric | 呼吸跃变型的：采后仍会继续成熟
non-climacteric | 非跃变型的：摘下就不再变甜
chlorophyll | 叶绿素：绿色的来源，遇酸变黄褐
anthocyanin | 花青素：紫红色素，遇酸变红遇碱变蓝
carotenoid | 类胡萝卜素：橙黄色素，脂溶性
oxalate | 草酸盐：让菠菜发涩、影响钙吸收
solanine | 龙葵素：土豆发绿变苦的有毒成分
capsanthin | 辣椒红素：成熟辣椒的红色来源
bitterness-cucurbit | 葫芦素苦味：瓜类偶尔发苦的天然毒素
pome-core | 果心：仁果中心包着籽的部分
cultivated | 栽培的：人工种植而非野生
wild-harvested | 野采的：从自然环境中采集
## cat: food-spice
allspice | 多香果：一味兼有丁香肉桂肉豆蔻的香
mace | 肉豆蔻衣：包在豆蔻外的红色假种皮
nigella | 黑种草籽：微苦带洋葱与坚果香
sumac | 漆树粉：酸味调料，色深红
za-atar | 扎塔香料：百里香芝麻漆树粉的混合
ras-el-hanout | 摩洛哥混合香料：店家自配的招牌配比
juniper | 杜松子：松脂与柑橘香，腌野味与酿金酒
caraway | 葛缕子：带茴香味，常混同于孜然
dill | 莳萝：叶细如丝，清甜带茴香
tarragon | 龙蒿：法式香草，带甘草与茴香气
marjoram | 马郁兰：比牛至更柔和的甜香
oregano | 牛至：干燥后香气更强的地中海香草
thyme | 百里香：耐久煮，木质小叶
rosemary | 迷迭香：松脂香浓，宜与油脂同用
bay-leaf | 月桂叶：久炖出味，出锅前取出
vanilla-bean | 香草荚：整根剖开刮籽使用
peppercorn | 胡椒粒：整粒保存香气，现磨最好
long-pepper | 荜拨：比黑胡椒更甜更辣的古老香料
grains-of-paradise | 天堂椒：西非香料，辛辣带柑橘
annatto | 胭脂树籽：天然橙红色素兼微香
turmeric | 姜黄：色黄味土，咖喱主色
chili-flake | 辣椒碎：带籽的干辣椒碎片
paprika | 红椒粉：由甜到辣，烟熏款尤佳
verjuice | 青葡萄汁：未熟葡萄榨的酸汁，比醋柔和
citric | 柠檬酸的：干燥的酸味来源
brine-cure | 湿腌：泡在盐水里入味并保存
dry-cure | 干腌：抹盐脱水以保存
## cat: food-bake
crumb-structure | 组织：切面上气孔的大小与均匀度
open-crumb | 开放式气孔的：孔大而不规则
tight-crumb | 细密组织的：孔小而均匀
gluten-window | 面筋膜：面团能撑出透光薄膜即揉到位
windowpane | 薄膜测试：拉开面团看能否透光不破
overproofed | 发过头的：气体撑破面筋，烤后塌陷
underproofed | 发不足的：内部紧实，割口爆裂不规则
steam-injection | 注蒸汽：入炉初期加湿以延后结壳
crust-color | 上色：外皮褐变的程度
maillard-crust | 美拉德外皮：褐变反应形成的香脆表层
tangzhong | 汤种：先糊化一部分面粉，成品更软更保湿
enriched | 高油糖的：加了蛋奶黄油糖的面团
lean-dough | 低油糖面团：只有粉水盐酵母
hydration-high | 高含水量的：面团湿黏但组织通透
folding-dough | 折叠：代替揉面，逐次增强面筋
preferment | 预发酵种：提前发好的一部分面团
starter-feeding | 续养：定期加粉加水维持酵种活性
discard | 弃种：续养时舍弃的那部分酵头
sugar-work | 拉糖：把糖浆熬到特定温度拉塑成型
hard-crack | 硬脆阶段：糖浆约 150 度，冷却后一敲即碎
soft-ball | 软球阶段：糖浆约 115 度，滴入水中成软球
inverted-sugar | 转化糖：分解成果糖葡萄糖，更不易结晶
seizing | 结块：巧克力遇少量水突然变硬
emulsified-ganache | 乳化甘纳许：油水稳定结合后极其顺滑
tempered | 调温的：可可脂结晶稳定，光亮易脆
## cat: food-drink
cold-brew | 冷萃：长时间低温浸泡，酸苦都低
flat-white | 馥芮白：奶泡薄、奶咖比例高
macchiato | 玛奇朵：浓缩上只点一小撮奶泡
cortado | 可塔朵：浓缩与热奶等量
affogato | 阿芙佳朵：浓缩浇在冰淇淋上
dose | 粉量：单次萃取所用的咖啡粉重量
yield | 出液量：萃取得到的液体重量
ratio | 粉水比：粉与水的重量比例
channeling | 通道效应：水从粉饼薄弱处穿过导致萃取不均
puck | 粉饼：压实后的咖啡粉块
degassing | 排气：新鲜烘豆释放二氧化碳的过程
oolong | 乌龙：部分氧化，介于绿茶与红茶之间
pu-erh | 普洱：后发酵茶，随存放变化
gongfu | 功夫泡：小壶高投茶量多次快出汤
decant | 醒酒：倒入宽口容器让香气打开
terroir-wine | 风土：产地土壤气候赋予酒的地域印记
malolactic | 苹果酸乳酸发酵：把尖酸转成柔和的乳酸
lees | 酒泥：发酵后沉底的酵母残渣
sur-lie | 带泥陈酿的：与酒泥同放以增加质感
oxidative | 氧化型的：刻意接触空气而发展出坚果味
reductive | 还原型的：隔绝空气以保留果香
sparkling | 起泡的：含二氧化碳
tannic | 单宁重的：涩感强、结构硬
minerality | 矿物感：像湿石头或海水的清冽印象
## cat: food-dairy
raw-cream | 生奶油：未经杀菌的奶油
double-cream | 高脂奶油：乳脂含量极高，易打发
single-cream | 低脂奶油：乳脂较低，不宜打发
whipping | 打发：打入空气使奶油变稠变蓬
overwhipped | 打过头的：继续打下去会变成黄油与酪乳
churning | 搅打成黄油：让脂肪球聚合分离出水
scalding | 烫奶：加热到接近沸腾但不沸
skin | 奶皮：加热后表面结出的蛋白膜
curdling | 结块分离：蛋白遇酸或高温凝结
stabilizer | 稳定剂：防止乳品分层或结冰晶
overrun | 膨胀率：冰淇淋中打入空气的比例
churned | 搅拌冷冻的：边冻边搅以细化冰晶
tempering-custard | 调温蛋奶糊：慢慢升温以免蛋结块
mouthcoating | 挂口的：脂感在口腔留下薄膜感
## cat: food-carb
proving-basket | 发酵篮：藤编的篮子，支撑面团并留下纹路
scoring-lame | 割包刀：带弧度的薄刀片
crumb-shot | 切面照：展示内部组织的照片
retrograded | 回生的：放凉后淀粉重新结晶变硬
refreshing | 回炉：重新加热让老化的面包短暂复软
starch-gel | 淀粉糊：糊化后形成的黏稠体系
mochi | 麻糬：糯米捶打成的黏糯团
rice-cake | 年糕：米粉压制成的耐煮糕体
vermicelli-rice | 米粉：稻米做的细丝，泡而不煮
glass-noodle | 粉丝：绿豆或红薯淀粉做，煮后透明
hand-torn | 手撕的：不用刀而用手扯成不规则片
laminated-bread | 起酥面包：黄油折叠出层次的面包
enriched-bun | 甜面包：高糖高油的柔软面团
sourdough-discard | 酵种弃料：续养舍弃的部分，可另作他用
## cat: food-world
banchan | 韩式小菜：正餐旁边同时上的多碟配菜
kimchi | 泡菜：乳酸发酵的辣白菜类腌菜
doenjang | 韩式大酱：大豆发酵的浓咸酱
bulgogi | 韩式烤肉：薄片腌后快烤
adobo | 阿多波：菲律宾醋酱油炖肉
sofrito-base | 底炒：先慢炒出的风味基底
mole | 墨式复合酱：数十种材料熬成的浓酱
masa-harina | 玉米粉：碱处理玉米磨成的粉
epazote | 土荆芥：墨西哥香草，带汽油般的独特气味
harissa-paste | 哈里萨酱：北非辣椒香料酱
preserved-lemon | 腌柠檬：盐渍数周，皮变软味转醇
smen | 陈年发酵黄油：北非用于增味的浓烈油脂
injera | 因杰拉：埃塞俄比亚的发酵酸薄饼
berbere | 柏柏尔香料：埃塞俄比亚的辣味混合香料
kaya | 咖椰：椰浆鸡蛋熬成的东南亚抹酱
pandan | 香兰叶：东南亚香草，带米香与椰香
belacan-paste | 虾膏：发酵虾压块，需先烤过
achar | 亚查腌菜：南亚东南亚的油渍酸辣腌菜
## cat: food-kit
peeler | 削皮器：刃口浮动，贴合表面削薄皮
zester | 刨皮器：只刨下柑橘外层带油的皮屑
melon-baller | 挖球器：挖出圆球形果肉
piping-bag | 裱花袋：挤出可控形状的糊
nozzle | 花嘴：决定挤出形状的金属口
palette-knife | 抹刀：宽薄有弹性，用于抹平
fish-slice | 煎鱼铲：薄而有缝，翻动不破
skewer | 串针：穿起食材或测试熟度
trivet | 隔热架：垫在热锅下保护台面
splatter-guard | 防溅网：盖在锅上挡油花
strainer-basket | 滤篮：可整个提起沥干
salad-spinner | 蔬菜脱水器：离心甩干叶菜
scale | 厨房秤：按重量而非体积计量
graduated | 带刻度的：量杯量勺上的分度
oven-thermometer | 烤箱温度计：校验烤箱实际温度
convection | 热风的：风扇强制循环让受热更均匀
deck-oven | 层炉：石板直接受热，适合面包
combi-oven | 万能蒸烤箱：可控湿度与温度
blast-chiller | 急速冷却机：快速穿过危险温度带
vacuum-sealer | 真空封口机：抽真空延长保存并配合低温烹调
## cat: food-sci
gelatinize | 糊化：淀粉吸水受热膨胀变稠
retrograde | 回生：糊化淀粉重新结晶
emulsify-sci | 乳化：借乳化剂让油水稳定共存
surfactant | 表面活性剂：降低界面张力的分子
lecithin | 卵磷脂：蛋黄中的天然乳化剂
coalescence | 聚并：分散的油滴重新合并，乳化破坏
creaming | 上浮分层：脂肪球上浮形成一层
sedimentation | 沉降：固体颗粒下沉分层
nucleation | 成核：结晶或气泡形成的起点
ostwald-ripening | 奥氏熟化：小晶体消失、大晶体长大
freezing-point | 冰点降低：溶质让水在更低温度才结冰
sous-vide-safety | 巴氏等效：低温长时间也能达到杀菌效果
d-value | D 值：在某温度下杀死九成微生物所需时间
z-value | Z 值：使 D 值变化十倍所需的温度差
brix | 白利度：溶液中可溶性固形物的浓度
titratable | 可滴定酸度：能被中和的酸的总量
ph-meter | 酸度计：测量溶液酸碱度的仪器
refractometer | 折光仪：靠折射率测糖度
organoleptic | 感官的：靠人的视嗅味触来评价
triangle-test | 三角测试：三份中挑出不同的那份
just-noticeable | 最小可觉差：能被察觉到的最小差异
threshold-taste | 味觉阈值：能被尝出的最低浓度
adaptation | 味觉适应：持续接触后感知强度下降
cross-modal | 跨感官的：颜色或声音会改变对味道的判断
## cat: food-dining
sommelier-pairing | 餐酒搭配：为每道菜挑选相配的酒
corkage | 开瓶费：自带酒水时餐厅收取的费用
gratuity | 小费：服务之外另付的酬谢
service-charge | 服务费：账单上自动加收的一项
covers-turnover | 翻台率：一晚同一桌接待几轮客人
reservation-window | 放位时间：可以开始预订的时刻
walk-in-table | 免预约位：留给现场客人的座位
counter-seat | 吧台座：正对厨师操作台的位置
chefs-table | 主厨桌：设在厨房内或旁的特别座位
pass | 出餐口：厨房与前厅交接菜品的位置
expediter | 传菜协调：把控出菜节奏与顺序的人
fire | 起菜：厨房下令开始制作某道菜
all-day | 全场统计：某道菜当下总共要做几份
eighty-six | 售罄：这道菜已经没有了
family-meal | 员工餐：营业前全店一起吃的一餐
pre-shift | 班前会：开餐前交代当日菜单与注意事项
plating-tweezers | 摆盘镊：夹放细小配件的工具
negative-space | 留白：盘中刻意空出的部分
composed | 组合式的：各元素分开摆放而非混拌
deconstructed | 解构的：把经典菜的元素拆开重新呈现
amuse | 迎宾小点：厨师赠送的开场一口
petit-four | 小茶点：餐后随咖啡上的迷你甜点
mignardise | 餐后小甜：最后送上的一口甜品
sharing-plate | 分享盘：多人共食的中份菜
grazing | 边聊边吃：不设正式菜序的轻松吃法
## cat: food-carb
semolina-flour | 粗粒麦粉：颗粒粗、蛋白高，做意面用
double-zero | 零零粉：磨得极细的意式面粉
strong-flour | 高筋粉：蛋白含量高，筋度强
soft-flour | 低筋粉：蛋白含量低，成品松软
self-raising | 自发粉：已混入膨松剂的面粉
durum-wheat | 硬粒小麦：金黄透亮，专用于干面
sheeting | 压面：把面团反复压成均匀薄片
resting-dough | 松弛：让面团静置，面筋放松便于成形
extruded | 挤出成型的：压过模具而非切出来的
dried-pasta | 干面：低温慢干保存，煮后弹牙
fresh-pasta | 鲜面：含蛋、当天使用，质地柔软
starch-retrogradation | 淀粉回生：放凉后变硬的根本原因
staling-bread | 面包老化：并非失水，而是淀粉重新结晶
crumb-softener | 保软剂：延缓老化让面包久软
sourdough-hydration | 酵种含水量：决定酵种是稀是稠
levain-build | 续种：分几次喂养把酵种养到足够量
## cat: food-dairy
mesophilic-culture | 嗜温菌种：室温工作，做软质奶酪
thermophilic-culture | 嗜热菌种：高温工作，做硬质奶酪
curd-cutting | 切割凝乳：切得越小排水越多，成品越硬
cooking-curd | 煮凝乳：升温收缩凝乳粒以排出更多乳清
cheddar-block | 堆酿：凝乳块反复堆叠排酸并形成纤维
mould-ripened | 霉菌熟成的：靠表面或内部霉菌成熟
smear-ripened | 涂抹熟成的：以菌液反复擦洗表皮
natural-rind | 天然外皮：不做处理、自然形成的皮
waxed | 蜡封的：外裹蜡层防止失水
vacuum-aged | 真空熟成的：袋中熟成，不形成外皮
paste | 酪体：奶酪内部的组织与质地
eyes | 气孔：奶酪内部由产气菌形成的圆洞
propionic | 丙酸菌的：产生气孔与坚果甜味
piquant-cheese | 辛香的：熟成后出现的刺激性风味
## cat: food-sci
gel-network | 凝胶网络：把液体困住的三维结构
syneresis-gel | 析水：凝胶收缩把水挤出来
thixotropic | 触变的：搅动变稀、静置又变稠
shear-thinning | 剪切变稀的：受力时流动性变好
viscoelastic | 黏弹性的：既像液体流动又像固体回弹
plasticity | 可塑性：受力变形后不回弹
brittleness | 脆性：受力直接断裂而不变形
water-holding | 持水力：组织留住水分的能力
purge | 渗液：包装内析出的汁水
freeze-thaw | 冻融：反复冻结解冻造成的品质损失
ice-crystal | 冰晶：冻结时形成，越大越破坏组织
blast-freezing | 急冻：快速通过冰晶生长区间
supercooling | 过冷：低于冰点仍未结冰的状态
lipid-oxidation | 脂质氧化：产生哈喇味的化学过程
warmed-over | 回热异味：熟肉重新加热后的走味
antimicrobial | 抗菌的：抑制微生物生长
hurdle-technology | 栅栏技术：多种温和手段叠加以保证安全
## cat: food-world
sofrito-caribbean | 加勒比底料：香菜辣椒洋葱蒜的青酱底
recado | 尤卡坦香料膏：调成膏状的复合香料
achiote | 胭脂树籽膏：上色兼增香的酱块
nixtamal | 碱煮玉米：处理后可磨成 masa 的玉米粒
comal | 平底陶盘：烙饼与烘香料用的传统器具
tagine | 塔吉锅：锥形盖聚拢蒸汽的北非陶锅
couscoussier | 库斯库斯蒸锅：下煮上蒸的双层锅
dolma | 酿菜：把馅塞进叶或蔬菜里
mezze-spread | 中东冷碟：多样小碟同时上桌的吃法
labneh | 浓缩酸奶：滤去乳清、可涂抹的酸奶
zhoug | 也门青辣酱：香菜辣椒香料打成的酱
fermented-bean | 豆豉：黑豆发酵而成，咸鲜带酱香
doubanjiang | 豆瓣酱：蚕豆辣椒发酵，川菜的灵魂
lu-shui | 卤水：反复使用的复合香料卤汁
zaoyu | 糟：用酒糟腌渍以增香
